ACARA ID,School Name,Suburb,Postcode,Type,Geolocation,Latitude,Longitude,BE Score,School Sector,Campus Type,Governing Body,Year Range,ICSEA,Bottom SEA Quarter (%),Lower Middle SEA Quarter (%),Upper Middle SEA Quarter (%),Top SEA Quarter (%),Teaching Staff,Full Time Equivalent Teaching Staff,Non-Teaching Staff,Full Time Equivalent Non-Teaching Staff,Total Enrolments,Girls Enrolments,Boys Enrolments,Full Time Equivalent Enrolments,Indigenous Enrolments (%),Language Background Other Than English (%)
42356,Aldavilla Public School,Yarravel,2440,Primary,Inner Regional,-31.0558,152.787,74,Government,School Single Entity,Department of Education NSW,K-6,919,50,33,13,4,14,16.9,15,2.9,305,154,151,305,27,3
41184,Alexandria Park Community School,Alexandria,2015,Combined,Major Cities,-33.9002,151.196,90,Government,School Single Entity,Department of Education NSW,K-12,1028,20,18,29,33,56,66.2,13,12.3,882,375,507,881.4,19,59
41115,Alfords Point Public School,Alfords Point,2234,Primary,Major Cities,-33.9924,151.024,87,Government,School Single Entity,Department of Education NSW,K-6,1061,12,28,33,27,11,12.8,4,2.4,219,105,114,219,2,52
40452,Tallowood Steiner School,Bowraville,2449,Primary,Outer Regional,-30.6343,152.856,,Independent,School Single Entity,Association of Independent Schools of New South Wales,K-6,1015,22,23,29,27,7,5,5,2.2,57,25,32,57,18,0
43404,All Hallows Catholic Primary School,Five Dock,2046,Primary,Major Cities,-33.8609,151.134,93,Catholic,School Single Entity,Catholic Schools NSW,K-6,1106,4,17,33,46,32,24.7,11,3.6,457,261,196,457,0,42
40492,Australia Street Infants School,Newtown,2042,Primary,Major Cities,-33.8958,151.178,,Government,School Single Entity,Department of Education NSW,P-2,1124,2,7,30,61,7,9.5,5,3.8,99,45,54,99,1,19
40493,Russell Lea Public School,Russell Lea,2046,Primary,Major Cities,-33.8614,151.143,,Government,School Single Entity,Department of Education NSW,K-6,1140,2,8,29,61,13,14.4,1,2.5,258,143,115,258,0,31
41281,Allambie Heights Public School,Allambie Heights,2100,Primary,Major Cities,-33.7658,151.252,95,Government,School Single Entity,Department of Education NSW,K-6,1121,2,13,31,54,23,28.8,5,4.1,555,247,308,555,1,16
40494,Taverners Hill Infants School,Petersham,2049,Primary,Major Cities,-33.889,151.157,,Government,School Single Entity,Department of Education NSW,K-2,1115,2,11,32,55,4,4,2,1.5,61,22,39,61,3,25
42940,Alma Public School,Broken Hill,2880,Primary,Outer Regional,-31.9822,141.462,71,Government,School Single Entity,Department of Education NSW,"U, P-6",863,69,20,9,2,24,21.6,7,6.5,265,121,144,265,34,2
42138,Alstonville Public School,Alstonville,2477,Primary,Inner Regional,-28.8385,153.438,75,Government,School Single Entity,Department of Education NSW,K-6,1004,30,28,24,18,20,22.7,3,3.1,407,192,215,407,9,6
40499,Yeo Park Infants School,Ashfield,2131,Primary,Major Cities,-33.9025,151.13,,Government,School Single Entity,Department of Education NSW,K-2,1114,0,9,35,55,3,3.7,2,1.4,53,24,29,53,6,42
41498,Ambarvale Public School,Ambarvale,2560,Primary,Major Cities,-34.0864,150.798,70,Government,School Single Entity,Department of Education NSW,"U, K-6",911,62,25,9,3,15,21.7,6,6.9,328,162,166,328,15,35
41855,Anna Bay Public School,Anna Bay,2316,Primary,Inner Regional,-32.7764,152.09,75,Government,School Single Entity,Department of Education NSW,"U, K-6",963,43,34,17,7,18,20,5,3.9,346,158,188,346,10,6
40513,Sefton Infants School,Sefton,2162,Primary,Major Cities,-33.8892,151.01,,Government,School Single Entity,Department of Education NSW,P-2,1028,23,32,27,18,8,10.5,6,3,103,55,48,103,0,99
40989,Annandale North Public School,Annandale,2038,Primary,Major Cities,-33.8779,151.172,95,Government,School Single Entity,Department of Education NSW,K-6,1148,2,6,22,70,17,20.5,4,3.1,402,206,196,402,3,22
40522,Mount Lewis Infants School,Greenacre,2190,Primary,Major Cities,-33.9161,151.05,,Government,School Single Entity,Department of Education NSW,K-2,1020,27,29,28,16,11,15.3,2,2,185,75,110,185,1,96
40988,Annandale Public School,Annandale,2038,Primary,Major Cities,-33.8858,151.17,86,Government,School Single Entity,Department of Education NSW,P-6,1115,5,10,28,57,25,28.5,8,6.4,402,180,222,402,2,32
40523,Bankstown South Infants School,Bankstown,2200,Primary,Major Cities,-33.9312,151.038,,Government,School Single Entity,Department of Education NSW,P-2,984,42,35,17,7,8,10.8,7,3.5,117,58,59,117,0,98
41247,Annangrove Public School,Annangrove,2156,Primary,Major Cities,-33.6674,150.953,99,Government,School Single Entity,Department of Education NSW,K-6,1097,7,24,30,39,6,5.8,2,1.8,108,46,62,108,0,32
